#ID	x	y
THR21_0530_S01	95.28448	139.0309
THR19_0414_S01	123.4874	128.8831
TH01_0668_S01	125.4065	106.8307
THR19_0412_S01	122.7904	128.94255
TARGET-51-PAJMNM-01	144.9937	220.9706
THR19_0470_S01	123.0856	130.19949
THR21_0553_S01	96.1084	138.0259
THR19_0472_S01	121.79	129.48912
THR14_1192_S01	0.9432	182.4654
TH38_1322_S01	108.8603	133.9601
THR21_0550_S01	89.07595	133.52887
TH38_1423_S01	48.9131	108.1476
TH38_1344_S02	119.0783	131.10349
THR19_0478_S01	122.3526	128.52997
TH01_0128_S01	172.4896	26.0703
TH38_1428_S01	81.51181	181.3527
THR21_0544_S01	92.40007	136.6341
THR12_0282_S01	69.2083	1.34
THR21_0532_S02	81.92777	127.91451
THR21_0532_S03	86.052504	130.92664
TARGET-51-PAJLWU-01	144.4943	220.645
TH01_0678_S01	44.0107	105.1473
THR21_0554_S01	84.54326	129.48564
THR19_0425_S01	122.283	129.80605
TH01_0710_S01	49.4369	107.55
THR14_1203_S01	96.8986	139.4205
TH01_0662_S01	42.6578	104.5913
THR21_0552_S01	94.5673	137.5578
THR19_0439_S01	123.7595	129.43731
THR12_0365_S01	69.9577	0.549
TH38_1325_S01	66.4352	119.1267
TH38_1316_S01	117.0849	131.20092
TH38_1315_S01	79.13426	185.0659
TH38_1437_S02	75.80635	189.8899
TH38_1345_S01	108.8865	138.72
TH38_1319_S01	51.4833	113.0891
TH38_1442_S02	170.0012	24.51
TH38_1329_S01	4.5574	175.8927
TH01_0706_S01	124.857	109.0815
THR21_0526_S01	87.27477	131.80496
THR21_0520_S01	94.84526	139.5439
THR19_0428_S01	123.9769	128.67237
THR19_0422_S01	123.2841	127.44045
THR12_0365_S02	70.5686	1.003
THR12_0365_S03	70.0363	1.243
TARGET-51-PALFYG-01	144.8921	221.4914
TH38_1324_S01	116.2757	132.81582
THR21_0549_S01	88.98117	129.27356
THR12_0365_S04	70.7931	0.53
TH38_1437_S01	113.2016	134.69789
THR19_0475_S01	118.4719	131.97078
THR19_0423_S01	121.9906	128.86545
THR21_0559_S01	96.421	131.59997
TH01_0658_S01	100.1738	141.6418
THR21_0531_S01	64.2198	113.728
THR19_0410_S01	121.4028	129.22257
THR14_1235_S01	87.65023	159.1852
TH38_1440_S01	47.8017	106.6063
THR14_1215_S01	1.1814	181.624
TH01_0709_S01	170.57	25.168
TH01_0715_S01	97.8986	135.21807
THR14_1219_S01	1.0344	181.2508
THR21_0528_S01	87.00377	131.1576
THR12_0280_S01	69.2454	0.0
TH01_0713_S01	112.4176	135.40331
TH38_1326_S01	119.0029	130.27634
TARGET-51-PAJPFB-01	144.8329	220.9815
THR21_0540_S01	95.68576	136.573
THR14_1201_S01	98.0665	141.0359
TH38_1320_S01	122.941	123.06533
THR19_0427_S01	120.737	130.57737
THR12_0277_S01	69.4057	0.524
TH38_1439_S01	46.7028	106.008
THR19_0480_S01	121.5666	129.96843
THR14_1234_S01	84.63469	169.2468
THR14_1216_S01	101.4592	148.3066
TH01_0667_S01	172.3952	26.34
TH01_0667_S02	171.8443	25.718
THR14_1180_S01	95.48158	140.389
